,Product_code,Product_name,Rating,number_of_reveiws,Price,Images,Link,Reveiw Link,Avg_rev_rating,rev_rat_dist,rev_tone_dist
54,B08T6SJ215,"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 39.62 cms (15.6"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)  ",3.9,1836,"₹31,990",https://m.media-amazon.com/images/I/71SMr4ZGf1L._AC_UY218_.jpg,https://www.amazon.in/HP-3-3250-Laptop-Windows-15s-gr0011AU/dp/B08T6SJ215/ref=sr_1_81?keywords=laptop&qid=1636205423&sr=8-81,https://www.amazon.in/HP-3-3250-Laptop-Windows-15s-gr0011AU/product-reviews/B08T6SJ215/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.03,133 76 50 39 144,61 245 136
55,B0987S6PG1,"ASUS TUF Gaming F17 (2021), 17.3-inch (43.94 cms) FHD 144Hz, Intel Core i7-11800H 11th Gen, GeForce RTX 3050 Ti 4GB Graphics, Gaming Laptop (16GB/1TB SSD/Windows 10/Eclipse Gray/2.6 Kg) FX766HE-HX022T  ",4.6,6,"₹1,13,990",https://m.media-amazon.com/images/I/81URizOYflL._AC_UY218_.jpg,https://www.amazon.in/ASUS-17-3-inch-i7-11800H-GeForce-RTX-3050-Ti-FX766HE-HX022T/dp/B0987S6PG1/ref=sr_1_82?keywords=laptop&qid=1636205423&sr=8-82,https://www.amazon.in/ASUS-17-3-inch-i7-11800H-GeForce-RTX-3050-Ti-FX766HE-HX022T/product-reviews/B0987S6PG1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,
56,B095JZLDSF,"HP 14 (2021) Thin & Light 11th Gen Core i3 Laptop, 8GB RAM, 256GB SSD, Intel UHD Graphics, 14-inch (35.56 cms) HD Screen, Windows 10, MS Office, Alexa Built-in (14s-dq2100TU), Black  ",3.9,55,"₹41,490",https://m.media-amazon.com/images/I/71CiYVzgJsL._AC_UY218_.jpg,https://www.amazon.in/HP-Graphics-14-inch-Windows-14s-dq2100TU/dp/B095JZLDSF/ref=sr_1_83?keywords=laptop&qid=1636205423&sr=8-83,https://www.amazon.in/HP-Graphics-14-inch-Windows-14s-dq2100TU/product-reviews/B095JZLDSF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.3,4 8 3 5,3 12 5
57,B095JY5B3F,"Lenovo V15 AMD 15.6-inch (39.6 cm) FHD Thin and Light Laptop (AMD Athlon Silver 3050 U/ 4GB RAM/ 1TB HDD/ Windows 10 Home/Integrated AMD Radeon Graphics/ Iron Grey/ 1.85 kg), 82C700J0IH  ",3.3,170,"₹30,650",https://m.media-amazon.com/images/I/71vCx6vbdBL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-15-6-inch-Integrated-Graphics-82C700J0IH/dp/B095JY5B3F/ref=sr_1_83?keywords=laptop&qid=1636205427&sr=8-83,https://www.amazon.in/Lenovo-15-6-inch-Integrated-Graphics-82C700J0IH/product-reviews/B095JY5B3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.09,7 2 4 7 25,8 17 20
58,B09BF65Z1V,"ASUS VivoBook 14 (2021), Intel Core i5-1135G7 11th Gen, 14-Inch (35.56 cms) FHD Thin and Light Laptop (8GB RAM/1TB HDD + 256GB SSD/Office 2019/Windows 10/Integrated/Silver/1.6 kg), X415EA-EB572TS  ",3.6,20,"₹53,990",https://m.media-amazon.com/images/I/71WuDXpTAlL._AC_UY218_.jpg,https://www.amazon.in/ASUS-VivoBook-i5-1135G7-Integrated-X415EA-EB572TS/dp/B09BF65Z1V/ref=sr_1_84?keywords=laptop&qid=1636205427&sr=8-84,https://www.amazon.in/ASUS-VivoBook-i5-1135G7-Integrated-X415EA-EB572TS/product-reviews/B09BF65Z1V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.09,3 3 1 4,1 7 3
59,B09GXZH1XH,"Dell 15 Insp 3511 i5-1135G7 Laptop, 8GB, 256GB SSD, Win 10 + MSO, Integrated Graphics, FHD Display, Carbon Color + Dell W/L Mouse MS3320W Black, 2.4 GHz RF W/L or BT 5.0, 1600 dpi, 3 Buttons, Multi-OS  ",3.8,13,"₹54,739",https://m.media-amazon.com/images/I/71ovDFpOMNL._AC_UY218_.jpg,https://www.amazon.in/Dell-i5-1135G7-Integrated-Graphics-Multi-OS/dp/B09GXZH1XH/ref=sr_1_86?keywords=laptop&qid=1636205427&sr=8-86,https://www.amazon.in/Dell-i5-1135G7-Integrated-Graphics-Multi-OS/product-reviews/B09GXZH1XH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,
60,B08JCP96XL,"Lenovo IdeaPad Slim 3 AMD Athlon Silver 3050U 15.6"" (39.63cm) HD Thin & Light Laptop (4GB/1TB HDD/Windows 10/AMD Radeon Graphics/Platinum Grey/1.85Kg), 81W100W9IN  ",3.1,87,"₹54,739",https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-Integrated-Graphics-Platinum-81W100W9IN/dp/B08JCP96XL/ref=sr_1_87?keywords=laptop&qid=1636205427&sr=8-87,https://www.amazon.in/Lenovo-Integrated-Graphics-Platinum-81W100W9IN/product-reviews/B08JCP96XL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.82,2 3 2 6 20,3 8 22
61,B09G3CWM3J,"Lenovo ThinkBook 15 Intel 11th Gen Core i5 15.6"" (39.62 cm) FHD IPS 300 nits Antiglare 100% sRGB Thin and Light Laptop (8GB/1TB HDD+128GB SSD/Windows 10/MS Office/Mineral Grey/1.7 Kg), 20VEA0HCIH  ",4.3,434,"₹59,990",https://m.media-amazon.com/images/I/613KupQMpLL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Windows-20VEA0HCIH/dp/B09G3CWM3J/ref=sr_1_89?keywords=laptop&qid=1636205427&sr=8-89,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Windows-20VEA0HCIH/product-reviews/B09G3CWM3J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.49,46 18 7 7 26,11 70 23
62,B09DCSJFBJ,ASUS VivoBook15-X515EA-BQ312TS-Intel Core i3-1115G4 (8GB RAM/256 GB NVMe SSD/Win10+McAfee/Ms Office H&S 2019/15.6-inch FHD IPS/FP Reader/1.75 kg/Silver/1 Yr. Warranty)  ,3.3,7,"₹39,100",https://m.media-amazon.com/images/I/61KeA6Ah33L._AC_UY218_.jpg,https://www.amazon.in/ASUS-VivoBook15-X515EA-BQ312TS-Intel-i3-1115G4-15-6-inch-Warranty/dp/B09DCSJFBJ/ref=sr_1_90?keywords=laptop&qid=1636205427&sr=8-90,https://www.amazon.in/ASUS-VivoBook15-X515EA-BQ312TS-Intel-i3-1115G4-15-6-inch-Warranty/product-reviews/B09DCSJFBJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,
63,B08N5W4NNB,"2020 Apple MacBook Air (13.3-inch/33.78 cm, Apple M1 chip with 8-core CPU and 7-core GPU, 8GB RAM, 256GB SSD) - Space Grey  ",4.7,1155,"₹83,900",https://m.media-amazon.com/images/I/71jG+e7roXL._AC_UY218_.jpg,https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_93?keywords=laptop&qid=1636205427&sr=8-93,https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/product-reviews/B08N5W4NNB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.36,109 9 3 1 18,13 111 16
