,Product_code,Product_name,Rating,number of reveiws,Price,Images,Link,Reveiw Link
114,B09CCXCF7S,"ASUS TUF Dash F15 (2021) 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i7-11370H 11th Gen, RTX 3060 6GB Graphics, Gaming Laptop (16GB/512GB SSD/Office 2019/Windows 10/Gray/2 Kg), FX516PM-HN175TS  ",4.2 out of 5 stars,7,"₹1,09,990",https://m.media-amazon.com/images/I/81stVUZ+WuL._AC_UY218_.jpg,https://www.amazon.in/ASUS-Dash-F15-15-6-inch-i7-11370H-FX516PM-HN175TS/dp/B09CCXCF7S/ref=sr_1_191?keywords=laptop&qid=1636205449&sr=8-191,https://www.amazon.in/ASUS-Dash-F15-15-6-inch-i7-11370H-FX516PM-HN175TS/product-reviews/B09CCXCF7S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
115,B099X7YBDL,"Dell Inspiron 3501 5.6"" FHD AG Display Laptop (i5-1135G7/ 4GB/ 1TB HDD + 256GB SSD/ Integrated Graphics/ Win 10 + MS Office/ Black) D560488WIN9B  ",5.0 out of 5 stars,2,"₹55,490",https://m.media-amazon.com/images/I/51jPUwqQTFL._AC_UY218_.jpg,https://www.amazon.in/Dell-Inspiron-3501-Integrated-D560488WIN9B/dp/B099X7YBDL/ref=sr_1_193?keywords=laptop&qid=1636205449&sr=8-193,https://www.amazon.in/Dell-Inspiron-3501-Integrated-D560488WIN9B/product-reviews/B099X7YBDL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
116,B095KPHGYQ,"Lenovo IdeaPad Slim 3 (2021)| 11th Gen Intel Core i3 |14""FHD IPS Thin and Light Laptop|4side narrow bezel (8GB/512GB SSD/Win10/Office 2019/Backlit KB/Fingerprint Reader/Arctic Grey/1.41Kg), 82H700K7IN  ",4.2 out of 5 stars,273,"₹49,800",https://m.media-amazon.com/images/I/61XJ6xrICAL._AC_UY218_.jpg,"battery,price,quality,money,life","26,18,18,15,15"
117,B099ZZDCFL,"Acer Swift 3 AMD Ryzen 5 5500U 14-inch (35.56 cms) Full HD IPS Thin and Light Laptop (8 GB RAM/512GB SSD/Windows 10/AMD Radeon Graphics /MS Office/Alexa Built-in/1.2Kg/Silver), SF314-43, Large  ",4.6 out of 5 stars,3,"₹59,999",https://m.media-amazon.com/images/I/81dh5YAU-oL._AC_UY218_.jpg,https://www.amazon.in/Acer-14-inch-Windows-Graphics-SF314-43/dp/B099ZZDCFL/ref=sr_1_195?keywords=laptop&qid=1636205452&sr=8-195,https://www.amazon.in/Acer-14-inch-Windows-Graphics-SF314-43/product-reviews/B099ZZDCFL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
118,B09F3NGT33,"Dell 14 (2021) i5-1155G7 2in1 Touch Screen Laptop, 16GB, 512GB SSD, Win 10 + MS Office, 14.0"" (35.56 cms) FHD Display, Backlit KB + FPR + Pen, Platinum Silver (Inspiron 5410, D560619WIN9S)  ",1.0 out of 5 stars,1,"₹74,190",https://m.media-amazon.com/images/I/618nCW+Qk+S._AC_UY218_.jpg,https://www.amazon.in/Dell-i5-1155G7-Platinum-5410-D560619WIN9S/dp/B09F3NGT33/ref=sr_1_197?keywords=laptop&qid=1636205452&sr=8-197,
119,B08P3M22QQ,"Lenovo Yoga 7i 11th Gen Intel Core i7-1165G7 14 inches FHD IPS 2-in-1 Touchscreen Business Laptop (16GB/512GB SSD/Windows 10/MS Office/Digital Pen/Fingerprint Reader/Slate Grey/1.43Kg), 82BH004HIN  ",4.4 out of 5 stars,56,"₹1,04,890",https://m.media-amazon.com/images/I/719CfPeuu5L._AC_UY218_.jpg,"battery,screen,display,yoga,price","12,10,7,6,6"
120,B08YRNVXN1,"AVITA Essential Refresh NE14A2INC44A-CR Intel Celeron-N4020 14 inches Laptop, 4GB/256GB SSD/Windows 10 Home/FHD/Integrated Graphics, Concrete Grey, 1.37kg  ",3.8 out of 5 stars,98,"₹25,999",https://m.media-amazon.com/images/I/61NsZ6UrfPL._AC_UY218_.jpg,"work,camera,gaming,battery,performance","7,6,6,6,5"
121,B09G3CQXSD,"Lenovo ThinkBook 15 Intel 11th Gen Core i7 15.6""(39.62 cm)FHD IPS 300 nits Antiglare 100% sRGB Thin & Light Laptop(16GB/1TB HDD+128GB SSD/Windows 10/MS Office/3 Yr Onsite Warranty/1.7 Kg) 20VEA0HBIH  ",3.8 out of 5 stars,14,"₹85,990",https://m.media-amazon.com/images/I/613KupQMpLL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Warranty-20VEA0HBIH/dp/B09G3CQXSD/ref=sr_1_200?keywords=laptop&qid=1636205452&sr=8-200,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Warranty-20VEA0HBIH/product-reviews/B09G3CQXSD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
122,B09C5WY7BM,"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 14"" (35.56cm) FHD IPS Thin & Light Laptop (8GB/512GB SSD/Windows 10/MS Office/Backlit Keyboard/Fingerprint Reader/Graphite Grey/1.39Kg), 82FE00T9IN  ",3.4 out of 5 stars,6,"₹59,700",https://m.media-amazon.com/images/I/6177wJ0CIrL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-Keyboard-Fingerprint-Graphite-82FE00T9IN/dp/B09C5WY7BM/ref=sr_1_201?keywords=laptop&qid=1636205452&sr=8-201,https://www.amazon.in/Lenovo-Keyboard-Fingerprint-Graphite-82FE00T9IN/product-reviews/B09C5WY7BM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
123,B09C2G5Z6D,(Renewed) Acer Aspire 5 Thin & Light 11th Gen Core i5 Laptop (8 GB RAM/1 TB HDD/Windows 10/Intel Iris Xe Graphics/Backlit Keyboard/1.65Kg/Silver)- 15.6-inch(35.56 cms) FHD Screen A515-56  ,3.0 out of 5 stars,2,"₹39,192",https://m.media-amazon.com/images/I/41OUKLuYDBL._AC_UY218_.jpg,https://www.amazon.in/Renewed-Acer-Graphics-Keyboard-15-6-inch/dp/B09C2G5Z6D/ref=sr_1_202?keywords=laptop&qid=1636205452&sr=8-202,https://www.amazon.in/Renewed-Acer-Graphics-Keyboard-15-6-inch/product-reviews/B09C2G5Z6D/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
