,Product_code,Product_name,Rating,number_of_reveiws,Price,Images,Link,Reveiw Link,Brand
21,B094Y8L2G9,"ASUS Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home) X515MA-BR004T Thin and Light Laptop (15.6 inch/39.6 cm, Transparent Silver, 1.80 Kg  ",3.4,152,29990,https://m.media-amazon.com/images/I/41CkeQXMMQL._AC_UY218_.jpg,https://www.amazon.in/ASUS-Celeron-Dual-Core-X515MA-BR004T/dp/B094Y8L2G9/ref=sr_1_25?dchild=1&keywords=laptop&qid=1632408228&sr=8-25,https://www.amazon.in/ASUS-Celeron-Dual-Core-X515MA-BR004T/product-reviews/B094Y8L2G9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ASUS
22,B08XMLV2HK,"HP Pavilion 11th Gen Intel Core i5 Processor 14"" (35.56cms) FHD Laptop with Alexa Built-in (16GB/512GB SSD/Win 10/MS Office/2GB NVIDIA MX450 Graphics/Natural Silver/1.41 Kg), 14-dv0084TX  ",4.3,461,71990,https://m.media-amazon.com/images/I/71hmqIQJFdL._AC_UY218_.jpg,https://www.amazon.in/HP-Pavilion-Processor-35-56cms-14-dv0084TX/dp/B08XMLV2HK/ref=sr_1_26?dchild=1&keywords=laptop&qid=1632408228&sr=8-26,https://www.amazon.in/HP-Pavilion-Processor-35-56cms-14-dv0084TX/product-reviews/B08XMLV2HK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HP
23,B09F3VKNWB,"(Renewed) HP ProBook 640 G1 14-inch Laptop (Core i5 4th Gen/8GB Ram (Upgradable to 16Gb )/500gb Hdd /Windows 10 Pro/ 4 GB Intel HD Graphics,Wifi, Webcam) ( 6 Months Onsite Warranty )  ",5.0,1,28999,https://m.media-amazon.com/images/I/61Oa2SVfjWL._AC_UY218_.jpg,https://www.amazon.in/HP-640-Upgradable-Graphics-Warranty/dp/B09F3VKNWB/ref=sr_1_29?dchild=1&keywords=laptop&qid=1632408228&sr=8-29,https://www.amazon.in/HP-640-Upgradable-Graphics-Warranty/product-reviews/B09F3VKNWB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HP
24,B097SZMNQH,"Dell Inspiron 3501 15.6"" FHD Display Laptop (i3-1115G4 / 4GB / 256GB SSD / Integrated Graphics / Win10 + MSO / Accent Black) D560492WIN9BE  ",3.7,39,41586,https://m.media-amazon.com/images/I/51jPUwqQTFL._AC_UY218_.jpg,https://www.amazon.in/Dell-Inspiron-3501-Integrated-D560492WIN9BE/dp/B097SZMNQH/ref=sr_1_30?dchild=1&keywords=laptop&qid=1632408228&sr=8-30,https://www.amazon.in/Dell-Inspiron-3501-Integrated-D560492WIN9BE/product-reviews/B097SZMNQH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,DELL
25,B08S4NF565,"ASUS VivoBook 14 (2020), Intel Core i3-1005G1 10th Gen, 14-Inch (35.56 cms) FHD Thin and Light Laptop (4GB RAM/1TB HDD/Windows 10/Integrated/Slate Grey/1.6 kg), X415JA-EK104T  ",3.6,516,33990,https://m.media-amazon.com/images/I/716bvqzz7PL._AC_UY218_.jpg,https://www.amazon.in/ASUS-VivoBook-i3-1005G1-Integrated-X415JA-EK104T/dp/B08S4NF565/ref=sr_1_31?dchild=1&keywords=laptop&qid=1632408228&sr=8-31,https://www.amazon.in/ASUS-VivoBook-i3-1005G1-Integrated-X415JA-EK104T/product-reviews/B08S4NF565/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ASUS
26,B08YRFDN62,"AVITA Essential Refresh NE14A2INC44A-MW 14-inch/35.56 cm(Intel Celeron-N4020/4GB/256GB SSD/Windows 10 Home/FHD/Integrated Graphics), Matt White  ",3.3,41,24399,https://m.media-amazon.com/images/I/51Y8qwwe94S._AC_UY218_.jpg,https://www.amazon.in/AVITA-Essential-NE14A2INC44A-MW-Celeron-N4020-Integrated/dp/B08YRFDN62/ref=sr_1_32?dchild=1&keywords=laptop&qid=1632408228&sr=8-32,https://www.amazon.in/AVITA-Essential-NE14A2INC44A-MW-Celeron-N4020-Integrated/product-reviews/B08YRFDN62/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,AVITA
27,B095YWBXFH,"Lenovo V15 AMD 15.6-inch (39.6 cm) FHD Thin and Light Laptop (AMD Athlon Gold 3150U/ 4GB RAM/ 1TB HDD/ Windows 10 Home/Integrated AMD Radeon Graphics/ Iron Grey), 82C700JEIH  ",3.2,64,31340,https://m.media-amazon.com/images/I/71iISjw6lrS._AC_UY218_.jpg,https://www.amazon.in/Lenovo-15-6-inch-Integrated-Graphics-82C700JEIH/dp/B095YWBXFH/ref=sr_1_33?dchild=1&keywords=laptop&qid=1632408228&sr=8-33,https://www.amazon.in/Lenovo-15-6-inch-Integrated-Graphics-82C700JEIH/product-reviews/B095YWBXFH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,LENOVO
28,B08TBVBKN5,"HP Notebook PC 245 G7 14"" (35.56cms) Laptop ATHLON-3050U/4GB/1TB/Windows 10 Home/ 1 Year Warranty (21Z04PA)  ",3.5,136,31340,https://m.media-amazon.com/images/I/61M2uHOa9vL._AC_UY218_.jpg,https://www.amazon.in/HP-Notebook-245-G7-ATHLON-3050U/dp/B08TBVBKN5/ref=sr_1_34?dchild=1&keywords=laptop&qid=1632408228&sr=8-34,https://www.amazon.in/HP-Notebook-245-G7-ATHLON-3050U/product-reviews/B08TBVBKN5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HP
29,B08YR723GM,"AVITA Essential Refresh NE14A2INC43A-CR 14-inch/35.56 cm(Intel Celeron-N4020/4GB/128GB SSD/Windows 10 Home/FHD/Integrated Graphics), Concrete Grey  ",4.0,318,31340,https://m.media-amazon.com/images/I/61NsZ6UrfPL._AC_UY218_.jpg,https://www.amazon.in/AVITA-Essential-NE14A2INC43A-CR-Celeron-N4020-Integrated/dp/B08YR723GM/ref=sr_1_35?dchild=1&keywords=laptop&qid=1632408228&sr=8-35,https://www.amazon.in/AVITA-Essential-NE14A2INC43A-CR-Celeron-N4020-Integrated/product-reviews/B08YR723GM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,AVITA
30,B09CCXBCX3,"ASUS VivoBook 15 (2020) 15.6-inch (39.62 cms) FHD, Intel Core i3-10110U 10th Gen, Thin and Light Laptop (4GB/1TB HDD/Office 2019/Windows 10/Integrated Graphics/Silver/1.9 Kg), X509FA-EJ311TS  ",3.5,3,35990,https://m.media-amazon.com/images/I/81bRmH5QmqL._AC_UY218_.jpg,https://www.amazon.in/ASUS-15-6-inch-i3-10110U-Integrated-X509FA-EJ311TS/dp/B09CCXBCX3/ref=sr_1_35?dchild=1&keywords=laptop&qid=1632408231&sr=8-35,https://www.amazon.in/ASUS-15-6-inch-i3-10110U-Integrated-X509FA-EJ311TS/product-reviews/B09CCXBCX3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ASUS
